                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51357,                0.43629,                0.95969,                0.97138,                0.95027,                0.98436,                0.89346,                0.42013,                0.25958,                0.79506,              0.0033251,              0.0033251,              0.0033251
                      2,                0.54435,                0.45957,                0.97255,                0.98721,                0.92595,                0.98018,                0.88178,                0.44752,                0.29492,                0.80942,              0.0065925,              0.0065925,              0.0065925
                      3,                0.58821,                0.49922,                0.98967,                0.88533,                 0.8493,                 0.9088,                0.76126,                0.64657,                0.54481,                0.92656,              0.0097939,              0.0097939,              0.0097939
                      4,                0.64475,                0.55709,                 1.0207,                0.88754,                  0.818,                0.89528,                 0.7559,                  0.641,                0.54108,                0.92634,               0.009703,               0.009703,               0.009703
                      5,                0.65348,                0.56616,                 1.0241,                 0.9759,                0.89082,                0.96021,                0.83073,                0.52798,                0.39204,                0.85871,               0.009604,               0.009604,               0.009604
                      6,                0.65235,                 0.5711,                 1.0238,                0.96083,                0.88317,                0.95106,                0.81598,                0.56539,                0.41854,                 0.8716,               0.009505,               0.009505,               0.009505
                      7,                0.65437,                0.56978,                 1.0259,                0.95013,                  0.906,                0.96043,                0.83512,                0.54768,                0.39077,                0.87091,               0.009406,               0.009406,               0.009406
                      8,                0.65555,                0.57055,                 1.0267,                0.95913,                0.89173,                0.95744,                0.83705,                0.51905,                 0.4151,                 0.8545,               0.009307,               0.009307,               0.009307
                      9,                0.65563,                0.56836,                  1.026,                0.96115,                  0.902,                0.96687,                 0.8461,                0.50838,                 0.3756,                0.84728,               0.009208,               0.009208,               0.009208
                     10,                 0.6531,                0.56646,                 1.0236,                0.96945,                  0.902,                0.96586,                0.84075,                0.52306,                0.37442,                0.85517,               0.009109,               0.009109,               0.009109
                     11,                 0.6476,                0.56219,                  1.022,                0.95755,                  0.908,                0.96627,                 0.8403,                0.51151,                0.36276,                0.85236,                0.00901,                0.00901,                0.00901
                     12,                0.65067,                0.56043,                 1.0238,                0.93038,                  0.862,                0.92497,                0.80776,                0.54087,                0.43595,                0.87857,               0.008911,               0.008911,               0.008911
                     13,                0.64511,                0.56032,                  1.024,                0.97171,                  0.908,                0.97219,                0.85265,                 0.4972,                0.35491,                0.83711,               0.008812,               0.008812,               0.008812
                     14,                0.65226,                0.56068,                 1.0219,                0.94752,                  0.922,                0.96887,                0.85583,                0.50468,                0.35782,                0.85006,               0.008713,               0.008713,               0.008713
                     15,                0.64494,                0.55663,                 1.0187,                0.96319,                  0.922,                0.97075,                0.85482,                0.48155,                0.34766,                0.84234,               0.008614,               0.008614,               0.008614
                     16,                0.64561,                0.56208,                 1.0196,                0.95383,                  0.898,                 0.9626,                0.85618,                0.47327,                0.36271,                0.83131,               0.008515,               0.008515,               0.008515
                     17,                0.63789,                0.55459,                 1.0151,                0.97847,                0.90898,                0.97564,                0.86836,                0.46332,                0.32885,                 0.8279,               0.008416,               0.008416,               0.008416
                     18,                 0.6365,                0.54979,                 1.0141,                0.97487,                0.93086,                0.97961,                 0.8718,                0.46083,                0.31744,                0.82638,               0.008317,               0.008317,               0.008317
                     19,                0.63414,                0.54349,                 1.0149,                 0.9727,                0.92642,                0.97589,                0.87438,                0.45266,                0.31646,                0.82685,               0.008218,               0.008218,               0.008218
                     20,                0.63747,                0.55226,                 1.0155,                0.98285,                0.91717,                0.98146,                0.88005,                0.45006,                0.30594,                0.82156,               0.008119,               0.008119,               0.008119
