                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1824,                 2.2071,                  1.174,                0.85492,                0.76608,                0.82013,                0.58644,                0.95662,                 1.0076,                 0.9904,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.1324,                 1.2115,                 1.1412,                0.76973,                  0.722,                0.75598,                0.51585,                 1.0852,                 1.0545,                 1.0684,              0.0065266,              0.0065266,              0.0065266
                      3,                 1.2696,                 1.2218,                 1.2154,                0.72724,                   0.61,                0.67267,                 0.4299,                 1.3378,                  1.297,                 1.2619,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.3084,                 1.2281,                 1.2472,                0.79559,                  0.712,                0.77554,                0.53551,                 1.1145,                0.98733,                 1.0917,               0.009406,               0.009406,               0.009406
                      5,                 1.2181,                  1.112,                 1.2054,                0.82746,                0.80567,                0.84332,                0.61485,                0.97057,                0.81986,                 1.0581,               0.009208,               0.009208,               0.009208
                      6,                 1.1416,                 1.0247,                 1.1668,                0.83517,                  0.824,                0.84701,                0.61938,                0.93852,                0.76146,                 1.0177,                0.00901,                0.00901,                0.00901
                      7,                 1.0955,                0.98309,                 1.1486,                0.85345,                0.79202,                0.85443,                0.62799,                0.94084,                0.74002,                 1.0405,               0.008812,               0.008812,               0.008812
                      8,                  1.069,                0.93885,                 1.1308,                0.89518,                0.80274,                0.87177,                0.65187,                0.85346,                0.70813,                0.99503,               0.008614,               0.008614,               0.008614
                      9,                 1.0459,                0.91732,                 1.1212,                0.86123,                0.83162,                 0.8757,                0.67054,                0.85335,                0.66204,                0.98795,               0.008416,               0.008416,               0.008416
                     10,                 1.0182,                0.88162,                 1.1051,                0.89536,                0.83855,                0.89873,                0.68937,                0.80614,                0.60496,                0.97053,               0.008218,               0.008218,               0.008218
                     11,                 1.0098,                0.87176,                 1.1039,                0.92407,                  0.842,                0.91099,                 0.7068,                0.77216,                0.59127,                0.95232,                0.00802,                0.00802,                0.00802
                     12,                0.98939,                0.85359,                 1.0938,                0.92075,                0.83646,                0.90102,                0.71285,                 0.7494,                0.59091,                  0.948,               0.007822,               0.007822,               0.007822
                     13,                0.97018,                0.83484,                 1.0845,                0.92945,                  0.846,                0.91575,                0.73023,                0.73938,                0.55931,                 0.9309,               0.007624,               0.007624,               0.007624
                     14,                0.95861,                0.82282,                 1.0778,                0.91507,                   0.84,                0.90634,                0.72712,                0.70977,                0.54799,                 0.9126,               0.007426,               0.007426,               0.007426
                     15,                0.95048,                0.81193,                 1.0771,                0.90839,                0.87257,                0.92468,                0.74622,                0.68517,                0.50771,                0.90459,               0.007228,               0.007228,               0.007228
                     16,                0.93778,                0.80172,                 1.0729,                0.92328,                   0.86,                0.91888,                0.73947,                0.68453,                0.50848,                0.91256,                0.00703,                0.00703,                0.00703
                     17,                0.92568,                0.78356,                 1.0651,                0.91529,                  0.858,                0.91835,                 0.7448,                0.68481,                0.50877,                0.90985,               0.006832,               0.006832,               0.006832
                     18,                 0.9118,                0.77973,                   1.06,                0.93062,                0.85842,                0.91707,                0.75682,                0.65372,                0.48104,                 0.8919,               0.006634,               0.006634,               0.006634
                     19,                0.90648,                0.77378,                 1.0571,                0.94094,                0.86026,                0.93271,                 0.7672,                0.63843,                0.48011,                0.89285,               0.006436,               0.006436,               0.006436
                     20,                0.89744,                 0.7527,                 1.0492,                0.94461,                0.85263,                0.93316,                0.76727,                0.63089,                0.46797,                0.88222,               0.006238,               0.006238,               0.006238
                     21,                0.89343,                0.74845,                 1.0487,                0.93926,                0.86597,                0.93255,                0.76882,                0.61771,                0.45869,                0.87523,                0.00604,                0.00604,                0.00604
                     22,                0.88636,                0.74519,                 1.0467,                0.95524,                0.85364,                0.93683,                0.77976,                0.60847,                0.45088,                0.87223,               0.005842,               0.005842,               0.005842
                     23,                0.88014,                0.74078,                 1.0445,                0.94428,                 0.8813,                0.93896,                0.78988,                0.58656,                0.43608,                0.86426,               0.005644,               0.005644,               0.005644
                     24,                0.87585,                0.73972,                 1.0393,                0.93329,                  0.884,                0.93947,                0.78433,                0.59306,                0.44804,                0.86692,               0.005446,               0.005446,               0.005446
                     25,                 0.8677,                0.72727,                 1.0357,                0.92704,                0.88944,                0.93561,                0.78808,                0.59591,                0.43958,                0.86979,               0.005248,               0.005248,               0.005248
                     26,                0.85745,                0.72355,                 1.0329,                0.94458,                   0.88,                0.94395,                 0.7917,                0.57694,                0.42698,                0.86372,                0.00505,                0.00505,                0.00505
                     27,                0.84747,                0.71397,                 1.0286,                  0.932,                  0.892,                0.94125,                0.78976,                0.57353,                0.41933,                 0.8573,               0.004852,               0.004852,               0.004852
