                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0198,                 1.3559,                 1.1296,                  0.874,                  0.782,                0.83252,                0.63921,                0.85087,                0.66611,                  1.014,              0.0033251,              0.0033251,              0.0033251
                      2,                0.97446,                0.86164,                 1.0953,                0.84661,                  0.712,                0.79238,                0.56435,                 1.0109,                0.86039,                 1.0483,              0.0065266,              0.0065266,              0.0065266
                      3,                 1.1507,                 1.0535,                 1.1797,                0.75989,                  0.674,                0.71623,                0.49179,                 1.1612,                 1.1655,                 1.1746,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.2134,                  1.111,                  1.224,                0.80116,                  0.762,                0.79326,                0.57025,                 1.0511,                 0.8786,                 1.1136,               0.009406,               0.009406,               0.009406
                      5,                 1.1145,                  0.996,                 1.1793,                0.86525,                0.80903,                0.86579,                0.63553,                0.90451,                0.70101,                 1.0238,               0.009208,               0.009208,               0.009208
                      6,                 1.0373,                0.90961,                 1.1428,                0.86039,                0.83817,                0.87253,                0.65711,                0.85885,                0.67302,                  1.019,                0.00901,                0.00901,                0.00901
                      7,                0.99442,                0.87557,                 1.1253,                 0.9142,                0.80974,                0.88396,                0.67561,                 0.8139,                0.63694,                0.99887,               0.008812,               0.008812,               0.008812
                      8,                0.96469,                0.83254,                 1.1051,                0.90031,                  0.852,                 0.8957,                0.69506,                0.78672,                0.59156,                0.98397,               0.008614,               0.008614,               0.008614
                      9,                0.94478,                0.81237,                 1.0998,                0.89679,                  0.854,                0.90557,                0.71961,                0.74225,                0.54969,                 0.9509,               0.008416,               0.008416,               0.008416
                     10,                0.91699,                0.78219,                 1.0825,                0.93942,                   0.86,                0.92045,                0.74047,                0.69297,                0.51457,                 0.9266,               0.008218,               0.008218,               0.008218
                     11,                0.89912,                0.76527,                 1.0753,                0.91627,                  0.882,                0.92613,                0.75954,                0.66466,                0.48374,                 0.9193,                0.00802,                0.00802,                0.00802
                     12,                0.88321,                0.74815,                  1.068,                 0.9354,                0.86883,                0.92978,                0.75944,                0.65427,                0.47619,                0.91929,               0.007822,               0.007822,               0.007822
                     13,                 0.8627,                0.73138,                 1.0567,                0.95218,                  0.846,                0.92682,                0.76308,                0.64311,                0.46233,                0.90531,               0.007624,               0.007624,               0.007624
                     14,                0.85378,                0.72182,                 1.0522,                0.93795,                  0.876,                0.93735,                0.77543,                0.62411,                0.45398,                0.89027,               0.007426,               0.007426,               0.007426
                     15,                  0.839,                 0.7112,                 1.0466,                0.94753,                  0.876,                0.94037,                0.78727,                0.59305,                0.44268,                0.88464,               0.007228,               0.007228,               0.007228
                     16,                0.83266,                0.69963,                  1.045,                0.95587,                0.86634,                0.94263,                 0.7854,                0.60349,                0.42629,                0.89515,                0.00703,                0.00703,                0.00703
                     17,                0.81548,                0.68251,                 1.0351,                0.95035,                  0.876,                 0.9454,                0.79284,                0.58984,                0.40844,                0.88861,               0.006832,               0.006832,               0.006832
                     18,                0.80757,                0.68184,                 1.0309,                0.94211,                   0.89,                0.95061,                0.80765,                0.56365,                0.40139,                0.87626,               0.006634,               0.006634,               0.006634
                     19,                0.79372,                0.66499,                 1.0226,                0.95133,                  0.882,                0.95037,                0.80701,                0.55957,                0.39245,                0.87348,               0.006436,               0.006436,               0.006436
                     20,                0.78826,                0.65643,                 1.0183,                0.95445,                0.88003,                0.94753,                0.81444,                0.53623,                0.38116,                0.86107,               0.006238,               0.006238,               0.006238
                     21,                0.78135,                0.64984,                 1.0163,                0.94555,                  0.894,                0.95056,                0.81238,                0.53686,                0.38699,                0.86181,                0.00604,                0.00604,                0.00604
                     22,                0.78319,                0.64809,                 1.0179,                0.95039,                0.88117,                 0.9506,                0.81995,                0.52593,                  0.382,                0.85596,               0.005842,               0.005842,               0.005842
                     23,                0.77186,                0.64315,                  1.014,                0.95479,                   0.89,                0.95286,                0.82603,                0.51671,                0.36579,                0.85048,               0.005644,               0.005644,               0.005644
